base_p1,model_type,p1,p2,p3,p4,vortex_winding,trivial_winding,holonomy_phase_total,phase_closure_ok,encircles_defect,pop_threshold_steps,ceab_loop_length,ceab_phase_closure_ok,gap_law_ok,canonical_vortex_winding,topological_contrast_vs_canonical,defect_core_valid,tag
88811,channel_shuffle,88817,88813,88811,88819,0,0,0,0,0,4,2,1,0,1,1,1,[B]
97841,canonical,97841,97843,97847,97849,1,0,0,1,1,4,2,1,1,1,0,1,[B]
97841,ceab_shift,97847,97849,97841,97843,0,0,0,0,0,4,2,1,0,1,1,1,[B]
97841,channel_shuffle,97847,97843,97841,97849,0,0,0,0,0,4,2,1,0,1,1,1,[B]
99131,canonical,99131,99133,99137,99139,1,0,0,1,1,4,2,1,1,1,0,1,[B]
99131,ceab_shift,99137,99139,99131,99133,0,0,0,0,0,4,2,1,0,1,1,1,[B]
99131,channel_shuffle,99137,99133,99131,99139,0,0,0,0,0,4,2,1,0,1,1,1,[B]
101111,canonical,101111,101113,101117,101119,1,0,0,1,1,4,2,1,1,1,0,1,[B]
101111,ceab_shift,101117,101119,101111,101113,0,0,0,0,0,4,2,1,0,1,1,1,[B]
101111,channel_shuffle,101117,101113,101111,101119,0,0,0,0,0,4,2,1,0,1,1,1,[B]
109841,canonical,109841,109843,109847,109849,1,0,0,1,1,4,2,1,1,1,0,1,[B]
109841,ceab_shift,109847,109849,109841,109843,0,0,0,0,0,4,2,1,0,1,1,1,[B]
109841,channel_shuffle,109847,109843,109841,109849,0,0,0,0,0,4,2,1,0,1,1,1,[B]
116531,canonical,116531,116533,116537,116539,1,0,0,1,1,4,2,1,1,1,0,1,[B]
116531,ceab_shift,116537,116539,116531,116533,0,0,0,0,0,4,2,1,0,1,1,1,[B]
116531,channel_shuffle,116537,116533,116531,116539,0,0,0,0,0,4,2,1,0,1,1,1,[B]
119291,canonical,119291,119293,119297,119299,1,0,0,1,1,4,2,1,1,1,0,1,[B]
119291,ceab_shift,119297,119299,119291,119293,0,0,0,0,0,4,2,1,0,1,1,1,[B]
119291,channel_shuffle,119297,119293,119291,119299,0,0,0,0,0,4,2,1,0,1,1,1,[B]
122201,canonical,122201,122203,122207,122209,1,0,0,1,1,4,2,1,1,1,0,1,[B]
122201,ceab_shift,122207,122209,122201,122203,0,0,0,0,0,4,2,1,0,1,1,1,[B]
122201,channel_shuffle,122207,122203,122201,122209,0,0,0,0,0,4,2,1,0,1,1,1,[B]
135461,canonical,135461,135463,135467,135469,1,0,0,1,1,4,2,1,1,1,0,1,[B]
135461,ceab_shift,135467,135469,135461,135463,0,0,0,0,0,4,2,1,0,1,1,1,[B]
135461,channel_shuffle,135467,135463,135461,135469,0,0,0,0,0,4,2,1,0,1,1,1,[B]
144161,canonical,144161,144163,144167,144169,1,0,0,1,1,4,2,1,1,1,0,1,[B]
144161,ceab_shift,144167,144169,144161,144163,0,0,0,0,0,4,2,1,0,1,1,1,[B]
144161,channel_shuffle,144167,144163,144161,144169,0,0,0,0,0,4,2,1,0,1,1,1,[B]
157271,canonical,157271,157273,157277,157279,1,0,0,1,1,4,2,1,1,1,0,1,[B]
157271,ceab_shift,157277,157279,157271,157273,0,0,0,0,0,4,2,1,0,1,1,1,[B]
157271,channel_shuffle,157277,157273,157271,157279,0,0,0,0,0,4,2,1,0,1,1,1,[B]
165701,canonical,165701,165703,165707,165709,1,0,0,1,1,4,2,1,1,1,0,1,[B]
165701,ceab_shift,165707,165709,165701,165703,0,0,0,0,0,4,2,1,0,1,1,1,[B]
165701,channel_shuffle,165707,165703,165701,165709,0,0,0,0,0,4,2,1,0,1,1,1,[B]
166841,canonical,166841,166843,166847,166849,1,0,0,1,1,4,2,1,1,1,0,1,[B]
166841,ceab_shift,166847,166849,166841,166843,0,0,0,0,0,4,2,1,0,1,1,1,[B]
166841,channel_shuffle,166847,166843,166841,166849,0,0,0,0,0,4,2,1,0,1,1,1,[B]
171161,canonical,171161,171163,171167,171169,1,0,0,1,1,4,2,1,1,1,0,1,[B]
171161,ceab_shift,171167,171169,171161,171163,0,0,0,0,0,4,2,1,0,1,1,1,[B]
171161,channel_shuffle,171167,171163,171161,171169,0,0,0,0,0,4,2,1,0,1,1,1,[B]
187631,canonical,187631,187633,187637,187639,1,0,0,1,1,4,2,1,1,1,0,1,[B]
187631,ceab_shift,187637,187639,187631,187633,0,0,0,0,0,4,2,1,0,1,1,1,[B]
187631,channel_shuffle,187637,187633,187631,187639,0,0,0,0,0,4,2,1,0,1,1,1,[B]
194861,canonical,194861,194863,194867,194869,1,0,0,1,1,4,2,1,1,1,0,1,[B]
194861,ceab_shift,194867,194869,194861,194863,0,0,0,0,0,4,2,1,0,1,1,1,[B]
194861,channel_shuffle,194867,194863,194861,194869,0,0,0,0,0,4,2,1,0,1,1,1,[B]
195731,canonical,195731,195733,195737,195739,1,0,0,1,1,4,2,1,1,1,0,1,[B]
195731,ceab_shift,195737,195739,195731,195733,0,0,0,0,0,4,2,1,0,1,1,1,[B]
195731,channel_shuffle,195737,195733,195731,195739,0,0,0,0,0,4,2,1,0,1,1,1,[B]
201491,canonical,201491,201493,201497,201499,1,0,0,1,1,4,2,1,1,1,0,1,[B]
201491,ceab_shift,201497,201499,201491,201493,0,0,0,0,0,4,2,1,0,1,1,1,[B]
201491,channel_shuffle,201497,201493,201491,201499,0,0,0,0,0,4,2,1,0,1,1,1,[B]
201821,canonical,201821,201823,201827,201829,1,0,0,1,1,4,2,1,1,1,0,1,[B]
201821,ceab_shift,201827,201829,201821,201823,0,0,0,0,0,4,2,1,0,1,1,1,[B]
201821,channel_shuffle,201827,201823,201821,201829,0,0,0,0,0,4,2,1,0,1,1,1,[B]
217361,canonical,217361,217363,217367,217369,1,0,0,1,1,4,2,1,1,1,0,1,[B]
217361,ceab_shift,217367,217369,217361,217363,0,0,0,0,0,4,2,1,0,1,1,1,[B]
217361,channel_shuffle,217367,217363,217361,217369,0,0,0,0,0,4,2,1,0,1,1,1,[B]
225341,canonical,225341,225343,225347,225349,1,0,0,1,1,4,2,1,1,1,0,1,[B]
225341,ceab_shift,225347,225349,225341,225343,0,0,0,0,0,4,2,1,0,1,1,1,[B]
225341,channel_shuffle,225347,225343,225341,225349,0,0,0,0,0,4,2,1,0,1,1,1,[B]
240041,canonical,240041,240043,240047,240049,1,0,0,1,1,4,2,1,1,1,0,1,[B]
240041,ceab_shift,240047,240049,240041,240043,0,0,0,0,0,4,2,1,0,1,1,1,[B]
240041,channel_shuffle,240047,240043,240041,240049,0,0,0,0,0,4,2,1,0,1,1,1,[B]
243701,canonical,243701,243703,243707,243709,1,0,0,1,1,4,2,1,1,1,0,1,[B]
243701,ceab_shift,243707,243709,243701,243703,0,0,0,0,0,4,2,1,0,1,1,1,[B]
243701,channel_shuffle,243707,243703,243701,243709,0,0,0,0,0,4,2,1,0,1,1,1,[B]
247601,canonical,247601,247603,247607,247609,1,0,0,1,1,4,2,1,1,1,0,1,[B]
247601,ceab_shift,247607,247609,247601,247603,0,0,0,0,0,4,2,1,0,1,1,1,[B]
247601,channel_shuffle,247607,247603,247601,247609,0,0,0,0,0,4,2,1,0,1,1,1,[B]
247991,canonical,247991,247993,247997,247999,1,0,0,1,1,4,2,1,1,1,0,1,[B]
247991,ceab_shift,247997,247999,247991,247993,0,0,0,0,0,4,2,1,0,1,1,1,[B]
247991,channel_shuffle,247997,247993,247991,247999,0,0,0,0,0,4,2,1,0,1,1,1,[B]
257861,canonical,257861,257863,257867,257869,1,0,0,1,1,4,2,1,1,1,0,1,[B]
257861,ceab_shift,257867,257869,257861,257863,0,0,0,0,0,4,2,1,0,1,1,1,[B]
257861,channel_shuffle,257867,257863,257861,257869,0,0,0,0,0,4,2,1,0,1,1,1,[B]
260411,canonical,260411,260413,260417,260419,1,0,0,1,1,4,2,1,1,1,0,1,[B]
260411,ceab_shift,260417,260419,260411,260413,0,0,0,0,0,4,2,1,0,1,1,1,[B]
260411,channel_shuffle,260417,260413,260411,260419,0,0,0,0,0,4,2,1,0,1,1,1,[B]
266681,canonical,266681,266683,266687,266689,1,0,0,1,1,4,2,1,1,1,0,1,[B]
266681,ceab_shift,266687,266689,266681,266683,0,0,0,0,0,4,2,1,0,1,1,1,[B]
266681,channel_shuffle,266687,266683,266681,266689,0,0,0,0,0,4,2,1,0,1,1,1,[B]
268811,canonical,268811,268813,268817,268819,1,0,0,1,1,4,2,1,1,1,0,1,[B]
