gap_type,count_index_from,count_index_to,p_from,p_to,anchor_delta,missing_indices,host,gap_d1,gap_d2,verify_ok
anchor_enumeration,157,158,907391,930071,22680,,,,,True
anchor_enumeration,158,159,930071,938051,7980,,,,,True
anchor_enumeration,159,160,938051,946661,8610,,,,,True
anchor_enumeration,160,161,946661,954971,8310,,,,,True
anchor_enumeration,161,162,954971,958541,3570,,,,,True
anchor_enumeration,162,163,958541,959471,930,,,,,True
anchor_enumeration,163,164,959471,976301,16830,,,,,True
anchor_enumeration,164,165,976301,978071,1770,,,,,True
anchor_enumeration,165,166,978071,983441,5370,,,,,True
anchor_enumeration,166,167,983441,1002341,18900,,,,,True
anchor_enumeration,167,168,1002341,1003361,1020,,,,,True
anchor_enumeration,168,169,1003361,1006301,2940,,,,,True
anchor_enumeration,169,170,1006301,1006331,30,,,,,True
anchor_enumeration,170,171,1006331,1008851,2520,,,,,True
anchor_enumeration,171,172,1008851,1015361,6510,,,,,True
anchor_enumeration,172,173,1015361,1022381,7020,,,,,True
anchor_enumeration,173,174,1022381,1022501,120,,,,,True
anchor_enumeration,174,175,1022501,1023941,1440,,,,,True
anchor_enumeration,175,176,1023941,1027751,3810,,,,,True
anchor_enumeration,176,177,1027751,1043591,15840,,,,,True
anchor_enumeration,177,178,1043591,1063961,20370,,,,,True
anchor_enumeration,178,179,1063961,1065011,1050,,,,,True
anchor_enumeration,179,180,1065011,1068251,3240,,,,,True
anchor_enumeration,180,181,1068251,1068701,450,,,,,True
anchor_enumeration,181,182,1068701,1091261,22560,,,,,True
anchor_enumeration,182,183,1091261,1093061,1800,,,,,True
anchor_enumeration,183,184,1093061,1093991,930,,,,,True
anchor_enumeration,184,185,1093991,1100831,6840,,,,,True
anchor_enumeration,185,186,1100831,1117601,16770,,,,,True
anchor_enumeration,186,187,1117601,1117811,210,,,,,True
anchor_enumeration,187,188,1117811,1118861,1050,,,,,True
anchor_enumeration,188,189,1118861,1120541,1680,,,,,True
anchor_enumeration,189,190,1120541,1121831,1290,,,,,True
anchor_enumeration,190,191,1121831,1122131,300,,,,,True
anchor_enumeration,191,192,1122131,1126661,4530,,,,,True
anchor_enumeration,192,193,1126661,1137881,11220,,,,,True
anchor_enumeration,193,194,1137881,1146791,8910,,,,,True
anchor_enumeration,194,195,1146791,1155611,8820,,,,,True
anchor_enumeration,195,196,1155611,1156031,420,,,,,True
anchor_enumeration,196,197,1156031,1157831,1800,,,,,True
anchor_enumeration,197,198,1157831,1163711,5880,,,,,True
anchor_enumeration,198,199,1163711,1167701,3990,,,,,True
anchor_enumeration,199,200,1167701,1168241,540,,,,,True
anchor_enumeration,200,201,1168241,1170131,1890,,,,,True
anchor_enumeration,201,202,1170131,1172021,1890,,,,,True
anchor_enumeration,202,203,1172021,1172531,510,,,,,True
anchor_enumeration,203,204,1172531,1173581,1050,,,,,True
anchor_enumeration,204,205,1173581,1182281,8700,,,,,True
anchor_enumeration,205,206,1182281,1210871,28590,,,,,True
anchor_enumeration,206,207,1210871,1228391,17520,,,,,True
anchor_enumeration,207,208,1228391,1230371,1980,,,,,True
anchor_enumeration,208,209,1230371,1233431,3060,,,,,True
anchor_enumeration,209,210,1233431,1246241,12810,,,,,True
anchor_enumeration,210,211,1246241,1246361,120,,,,,True
anchor_enumeration,211,212,1246361,1257071,10710,,,,,True
anchor_enumeration,212,213,1257071,1272281,15210,,,,,True
anchor_enumeration,213,214,1272281,1285511,13230,,,,,True
anchor_enumeration,214,215,1285511,1298111,12600,,,,,True
anchor_enumeration,215,216,1298111,1322171,24060,,,,,True
anchor_enumeration,216,217,1322171,1322591,420,,,,,True
anchor_enumeration,217,218,1322591,1324571,1980,,,,,True
anchor_enumeration,218,219,1324571,1329701,5130,,,,,True
anchor_enumeration,219,220,1329701,1337261,7560,,,,,True
anchor_enumeration,220,221,1337261,1339901,2640,,,,,True
anchor_enumeration,221,222,1339901,1340321,420,,,,,True
anchor_enumeration,222,223,1340321,1351241,10920,,,,,True
anchor_enumeration,223,224,1351241,1352201,960,,,,,True
anchor_enumeration,224,225,1352201,1358801,6600,,,,,True
anchor_enumeration,225,226,1358801,1360781,1980,,,,,True
anchor_enumeration,226,227,1360781,1368461,7680,,,,,True
anchor_enumeration,227,228,1368461,1381271,12810,,,,,True
anchor_enumeration,228,229,1381271,1400801,19530,,,,,True
anchor_enumeration,229,230,1400801,1402361,1560,,,,,True
anchor_enumeration,230,231,1402361,1410971,8610,,,,,True
anchor_enumeration,231,232,1410971,1440581,29610,,,,,True
anchor_enumeration,232,233,1440581,1447001,6420,,,,,True
anchor_enumeration,233,234,1447001,1451831,4830,,,,,True
anchor_enumeration,234,235,1451831,1461401,9570,,,,,True
anchor_enumeration,235,236,1461401,1468631,7230,,,,,True
anchor_enumeration,236,237,1468631,1508621,39990,,,,,True
anchor_enumeration,237,238,1508621,1514321,5700,,,,,True
anchor_enumeration,238,239,1514321,1524071,9750,,,,,True
anchor_enumeration,239,240,1524071,1525961,1890,,,,,True
anchor_enumeration,240,241,1525961,1540961,15000,,,,,True
anchor_enumeration,241,242,1540961,1571741,30780,,,,,True
