index,host,quell_v,d_artagnan,musketiere,d1,d2,gap_pair
135,B,"(715151, 715153, 715157, 715159)",715153,"(715151, 715157, 715159)",6,2,"(6, 2)"
136,C,"(734471, 734473, 734477, 734479)",734477,"(734471, 734473, 734479)",2,6,"(2, 6)"
137,E,"(736361, 736363, 736367, 736369)",736369,"(736361, 736363, 736367)",2,4,"(2, 4)"
138,A,"(739391, 739393, 739397, 739399)",739391,"(739393, 739397, 739399)",4,2,"(4, 2)"
139,B,"(768191, 768193, 768197, 768199)",768193,"(768191, 768197, 768199)",6,2,"(6, 2)"
140,C,"(773021, 773023, 773027, 773029)",773027,"(773021, 773023, 773029)",2,6,"(2, 6)"
141,E,"(795791, 795793, 795797, 795799)",795799,"(795791, 795793, 795797)",2,4,"(2, 4)"
142,A,"(803441, 803443, 803447, 803449)",803441,"(803443, 803447, 803449)",4,2,"(4, 2)"
143,B,"(814061, 814063, 814067, 814069)",814063,"(814061, 814067, 814069)",6,2,"(6, 2)"
144,C,"(822161, 822163, 822167, 822169)",822167,"(822161, 822163, 822169)",2,6,"(2, 6)"
145,E,"(823721, 823723, 823727, 823729)",823729,"(823721, 823723, 823727)",2,4,"(2, 4)"
146,A,"(829721, 829723, 829727, 829729)",829721,"(829723, 829727, 829729)",4,2,"(4, 2)"
147,B,"(833711, 833713, 833717, 833719)",833713,"(833711, 833717, 833719)",6,2,"(6, 2)"
148,C,"(837071, 837073, 837077, 837079)",837077,"(837071, 837073, 837079)",2,6,"(2, 6)"
149,E,"(845981, 845983, 845987, 845989)",845989,"(845981, 845983, 845987)",2,4,"(2, 4)"
150,A,"(854921, 854923, 854927, 854929)",854921,"(854923, 854927, 854929)",4,2,"(4, 2)"
151,B,"(855731, 855733, 855737, 855739)",855733,"(855731, 855737, 855739)",6,2,"(6, 2)"
152,C,"(857951, 857953, 857957, 857959)",857957,"(857951, 857953, 857959)",2,6,"(2, 6)"
153,E,"(875261, 875263, 875267, 875269)",875269,"(875261, 875263, 875267)",2,4,"(2, 4)"
154,A,"(876011, 876013, 876017, 876019)",876011,"(876013, 876017, 876019)",4,2,"(4, 2)"
155,B,"(881471, 881473, 881477, 881479)",881473,"(881471, 881477, 881479)",6,2,"(6, 2)"
156,C,"(889871, 889873, 889877, 889879)",889877,"(889871, 889873, 889879)",2,6,"(2, 6)"
157,E,"(907391, 907393, 907397, 907399)",907399,"(907391, 907393, 907397)",2,4,"(2, 4)"
158,A,"(930071, 930073, 930077, 930079)",930071,"(930073, 930077, 930079)",4,2,"(4, 2)"
159,B,"(938051, 938053, 938057, 938059)",938053,"(938051, 938057, 938059)",6,2,"(6, 2)"
160,C,"(946661, 946663, 946667, 946669)",946667,"(946661, 946663, 946669)",2,6,"(2, 6)"
161,E,"(954971, 954973, 954977, 954979)",954979,"(954971, 954973, 954977)",2,4,"(2, 4)"
162,A,"(958541, 958543, 958547, 958549)",958541,"(958543, 958547, 958549)",4,2,"(4, 2)"
163,B,"(959471, 959473, 959477, 959479)",959473,"(959471, 959477, 959479)",6,2,"(6, 2)"
164,C,"(976301, 976303, 976307, 976309)",976307,"(976301, 976303, 976309)",2,6,"(2, 6)"
165,E,"(978071, 978073, 978077, 978079)",978079,"(978071, 978073, 978077)",2,4,"(2, 4)"
166,A,"(983441, 983443, 983447, 983449)",983441,"(983443, 983447, 983449)",4,2,"(4, 2)"
167,B,"(1002341, 1002343, 1002347, 1002349)",1002343,"(1002341, 1002347, 1002349)",6,2,"(6, 2)"
168,C,"(1003361, 1003363, 1003367, 1003369)",1003367,"(1003361, 1003363, 1003369)",2,6,"(2, 6)"
169,E,"(1006301, 1006303, 1006307, 1006309)",1006309,"(1006301, 1006303, 1006307)",2,4,"(2, 4)"
170,A,"(1006331, 1006333, 1006337, 1006339)",1006331,"(1006333, 1006337, 1006339)",4,2,"(4, 2)"
171,B,"(1008851, 1008853, 1008857, 1008859)",1008853,"(1008851, 1008857, 1008859)",6,2,"(6, 2)"
172,C,"(1015361, 1015363, 1015367, 1015369)",1015367,"(1015361, 1015363, 1015369)",2,6,"(2, 6)"
173,E,"(1022381, 1022383, 1022387, 1022389)",1022389,"(1022381, 1022383, 1022387)",2,4,"(2, 4)"
174,A,"(1022501, 1022503, 1022507, 1022509)",1022501,"(1022503, 1022507, 1022509)",4,2,"(4, 2)"
175,B,"(1023941, 1023943, 1023947, 1023949)",1023943,"(1023941, 1023947, 1023949)",6,2,"(6, 2)"
176,C,"(1027751, 1027753, 1027757, 1027759)",1027757,"(1027751, 1027753, 1027759)",2,6,"(2, 6)"
177,E,"(1043591, 1043593, 1043597, 1043599)",1043599,"(1043591, 1043593, 1043597)",2,4,"(2, 4)"
178,A,"(1063961, 1063963, 1063967, 1063969)",1063961,"(1063963, 1063967, 1063969)",4,2,"(4, 2)"
179,B,"(1065011, 1065013, 1065017, 1065019)",1065013,"(1065011, 1065017, 1065019)",6,2,"(6, 2)"
180,C,"(1068251, 1068253, 1068257, 1068259)",1068257,"(1068251, 1068253, 1068259)",2,6,"(2, 6)"
181,E,"(1068701, 1068703, 1068707, 1068709)",1068709,"(1068701, 1068703, 1068707)",2,4,"(2, 4)"
182,A,"(1091261, 1091263, 1091267, 1091269)",1091261,"(1091263, 1091267, 1091269)",4,2,"(4, 2)"
183,B,"(1093061, 1093063, 1093067, 1093069)",1093063,"(1093061, 1093067, 1093069)",6,2,"(6, 2)"
184,C,"(1093991, 1093993, 1093997, 1093999)",1093997,"(1093991, 1093993, 1093999)",2,6,"(2, 6)"
185,E,"(1100831, 1100833, 1100837, 1100839)",1100839,"(1100831, 1100833, 1100837)",2,4,"(2, 4)"
186,A,"(1117601, 1117603, 1117607, 1117609)",1117601,"(1117603, 1117607, 1117609)",4,2,"(4, 2)"
187,B,"(1117811, 1117813, 1117817, 1117819)",1117813,"(1117811, 1117817, 1117819)",6,2,"(6, 2)"
188,C,"(1118861, 1118863, 1118867, 1118869)",1118867,"(1118861, 1118863, 1118869)",2,6,"(2, 6)"
189,E,"(1120541, 1120543, 1120547, 1120549)",1120549,"(1120541, 1120543, 1120547)",2,4,"(2, 4)"
190,A,"(1121831, 1121833, 1121837, 1121839)",1121831,"(1121833, 1121837, 1121839)",4,2,"(4, 2)"
191,B,"(1122131, 1122133, 1122137, 1122139)",1122133,"(1122131, 1122137, 1122139)",6,2,"(6, 2)"
192,C,"(1126661, 1126663, 1126667, 1126669)",1126667,"(1126661, 1126663, 1126669)",2,6,"(2, 6)"
193,E,"(1137881, 1137883, 1137887, 1137889)",1137889,"(1137881, 1137883, 1137887)",2,4,"(2, 4)"
194,A,"(1146791, 1146793, 1146797, 1146799)",1146791,"(1146793, 1146797, 1146799)",4,2,"(4, 2)"
