p,p_plus_2,p_plus_6,p_plus_8,vortex_winding,trivial_winding,phase_closure_ok,ceab_closure_ok,encircles_defect,pop_threshold_steps,rotor_steps,rotor_gap_cycle,status
419051,419053,419057,419059,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
420851,420853,420857,420859,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
427241,427243,427247,427249,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
442571,442573,442577,442579,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
444341,444343,444347,444349,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
452531,452533,452537,452539,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
463451,463453,463457,463459,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
465161,465163,465167,465169,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
467471,467473,467477,467479,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
470081,470083,470087,470089,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
477011,477013,477017,477019,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
490571,490573,490577,490579,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
495611,495613,495617,495619,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
500231,500233,500237,500239,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
510611,510613,510617,510619,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
518801,518803,518807,518809,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
536441,536443,536447,536449,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
536771,536773,536777,536779,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
