n,hit,time,location,orbit_min,profile_steps,geom2_distance,threshold,max_steps
31987,True,3,13495,1,64,0.062500,15993,10000
243,True,3,103,1,64,0.328125,121,10000
8873,True,23,95,1,64,0.138672,4436,10000
489,True,7,131,1,64,0.562500,244,10000
69,True,1,13,1,64,0.703125,34,10000
70223,True,5,33329,1,64,0.046875,35111,10000
915,True,4,145,1,64,0.203125,457,10000
1015,True,6,181,1,64,0.625000,507,10000
4271,True,8,1711,1,64,0.078125,2135,10000
34415,True,7,2297,1,64,0.476562,17207,10000
7741,True,1,2903,1,64,0.140625,3870,10000
453,True,1,85,1,64,0.730469,226,10000
5,True,1,1,1,64,0.734375,2,10000
7461,True,1,1399,1,64,0.453125,3730,10000
73,True,38,23,1,64,0.250000,36,10000
15,True,4,5,1,64,0.671875,7,10000
171,True,5,41,1,64,0.250000,85,10000
3,True,2,1,1,64,0.718750,1,10000
377,True,16,61,1,64,0.484375,188,10000
706963,True,4,27961,1,64,0.406250,353481,10000
77,True,1,29,1,64,0.671875,38,10000
5573,True,1,1045,1,64,0.640625,2786,10000
9237,True,1,433,1,64,0.640625,4618,10000
5,True,1,1,1,64,0.734375,2,10000
532715,True,32,109595,1,64,0.140625,266357,10000
11455,True,11,3871,1,64,0.171875,5727,10000
1399,True,4,443,1,64,0.468750,699,10000
447,True,25,173,1,64,0.335938,223,10000
43489,True,6,15481,1,64,0.121094,21744,10000
3075,True,2,865,1,64,0.093750,1537,10000
205,True,1,77,1,64,0.656250,102,10000
135,True,4,43,1,64,0.609375,67,10000
5,True,1,1,1,64,0.734375,2,10000
205,True,1,77,1,64,0.656250,102,10000
39,True,5,19,1,64,0.609375,19,10000
5,True,1,1,1,64,0.734375,2,10000
781,True,1,293,1,64,0.218750,390,10000
40485,True,1,7591,1,64,0.062500,20242,10000
5,True,1,1,1,64,0.734375,2,10000
43929,True,3,18533,1,64,0.234375,21964,10000
174847,True,11,29539,1,64,0.328125,87423,10000
17633,True,10,7945,1,64,0.132812,8816,10000
379737,True,3,80101,1,64,0.232422,189868,10000
2863,True,10,1291,1,64,0.484375,1431,10000
798503,True,7,213175,1,64,0.250000,399251,10000
623,True,8,125,1,64,0.203125,311,10000
179,True,3,19,1,64,0.625000,89,10000
19209,True,9,2885,1,64,0.515625,9604,10000
1095,True,11,371,1,64,0.468750,547,10000
743,True,16,239,1,64,0.375000,371,10000
692131,True,2,97331,1,64,0.125000,346065,10000
7,True,5,1,1,64,0.687500,3,10000
9,True,6,1,1,64,0.687500,4,10000
17015,True,4,673,1,64,0.515625,8507,10000
33,True,4,11,1,64,0.671875,16,10000
529,True,2,149,1,64,0.656250,264,10000
5,True,1,1,1,64,0.734375,2,10000
2813,True,1,1055,1,64,0.062500,1406,10000
857999,True,5,407215,1,64,0.328125,428999,10000
4113,True,2,1157,1,64,0.625000,2056,10000
19,True,5,5,1,64,0.671875,9,10000
15289,True,4,2419,1,64,0.468750,7644,10000
5,True,1,1,1,64,0.734375,2,10000
248535,True,3,104851,1,64,0.527344,124267,10000
229,True,1,43,1,64,0.640625,114,10000
31,True,38,5,1,64,0.281250,15,10000
142515,True,3,15031,1,64,0.078125,71257,10000
43,True,4,7,1,64,0.656250,21,10000
290969,True,3,122753,1,64,0.250000,145484,10000
13,True,1,5,1,64,0.718750,6,10000
76701,True,1,28763,1,64,0.078125,38350,10000
45,True,1,17,1,64,0.703125,22,10000
3831,True,5,1819,1,64,0.062500,1915,10000
28265,True,23,4841,1,64,0.085938,14132,10000
779623,True,13,74087,1,64,0.226562,389811,10000
37,True,1,7,1,64,0.671875,18,10000
648433,True,2,45593,1,64,0.578125,324216,10000
4757,True,1,223,1,64,0.406250,2378,10000
6677,True,1,313,1,64,0.187500,3338,10000
59,True,4,19,1,64,0.625000,29,10000
295,True,8,119,1,64,0.515625,147,10000
165,True,1,31,1,64,0.265625,82,10000
73567,True,5,8729,1,64,0.085938,36783,10000
59,True,4,19,1,64,0.625000,29,10000
42197,True,1,989,1,64,0.554688,21098,10000
35185,True,2,1237,1,64,0.664062,17592,10000
301391,True,9,11315,1,64,0.195312,150695,10000
225,True,11,77,1,64,0.546875,112,10000
11909,True,1,2233,1,64,0.171875,5954,10000
150487,True,3,63487,1,64,0.093750,75243,10000
2623,True,6,467,1,64,0.289062,1311,10000
5,True,1,1,1,64,0.734375,2,10000
121,True,30,23,1,64,0.343750,60,10000
55,True,37,23,1,64,0.250000,27,10000
549583,True,8,110041,1,64,0.125000,274791,10000
7661,True,1,2873,1,64,0.078125,3830,10000
11359,True,12,2879,1,64,0.062500,5679,10000
111,True,20,23,1,64,0.437500,55,10000
21,True,1,1,1,64,0.734375,10,10000
91599,True,10,41267,1,64,0.093750,45799,10000
19127,True,6,6809,1,64,0.093750,9563,10000
3235,True,2,455,1,64,0.593750,1617,10000
513,True,3,217,1,64,0.656250,256,10000
1901,True,1,713,1,64,0.683594,950,10000
765,True,1,287,1,64,0.562500,382,10000
49351,True,5,23423,1,64,0.357422,24675,10000
